book_id,titles,isbn,author,review source,average rating,review author,review content
81,The Glass Castle,074324754X,Jeannette Walls,Barnes and Noble,4.4,devin10,"The Glass Castle is a inspiring novel that really deals with problems that many face, neglection. The mother doesn't care enough to be a true mom, and the father is too busy getting drunk to care in a fatherly way. Which leaves the children with a lot to be desired. In a quest for independence and to find a way through life the children separate and it shows many different paths life can lead you down..It is truly an inspirational book, that shows you don't need someone always and to never give up. I really recommend this book."
81,The Glass Castle,074324754X,Jeannette Walls,Barnes and Noble,4.4,Anonymous,"THIS IS AN OUTSTANDING, WELL WRITTEN BOOK. The Glass Castle by Jeannette Wall is the type of book that makes you want to give your parents a hug and thank them for being such wonderful parents, no matter how bad they were. Wall was raised by free spirits who want their children to become toughened by life and believe firmly in survival of the fittest. Her mother wants to be an artist and not to be bothered by the inconvenience of feeding and caring for her children. Her father is brilliantly smart but also a vicious drunk. Every time I thought that her childhood couldn't get any worse, I would turn the page. Which is worse? The Christmas he lit the entire Christmas tree on fire (on purpose) destroying their presents or the time he chased his pregnant wife with the car through the desert at night until he pinned her against a rock wall. Wall's story of perserverance through adversity is inspiring and amazing. You can't help but admire the courage it took to survive what she did and accomplish everything she has since. I finished it last night, and today I realized I was a bit sad that I didn't have any more of their crazy life stories to read about!"
81,The Glass Castle,074324754X,Jeannette Walls,Barnes and Noble,4.4,NordicSun,"I've had the pleasure to teach a college class on memoir since 2002, but must admit I've never had watched a memoir garner such reaction, praise, attachment, and fervor in the class before this one. Readers in my course, both young and middle aged, are held by the divided souls in this book, by its perils, defenses for neglect, overcoming, awful truths, painful secrets, shame, sarcasm, love always love, wit, and pluck. Its style holds us, and its saga of overcoming moves all. You will put the book down upon finishing, but you will never be able to quit the Walls' family. 

Jeannette Walls has one amazing heart. I am honored that she has shared it with us."
82,Into the Wild,0385486804,Jon Krakauer,Barnes and Noble,4.1,Guest,This book had a very powerful underlying message. For Chris it wasn't about going into the Alaskan wilderness with all of his loving posessions. He was seeking answers about where he was in his life and what it meant. I felt a strong connection to Chris in many ways. I feel that I have the same strong will and guts of steel that he posessed. Jon Krakauer kept me intently flipping the pages as I learned the story of Chris McCandless.
82,Into the Wild,0385486804,Jon Krakauer,Barnes and Noble,4.1,ClarrisaW88,"Inspiring story about letting go of the daily grind and giving up everything to taste life in the wilderness.  At it's heart, into the wild, like every adventure, is a spiritual quest for life's true meaning.  Wonderful book and movie."
82,Into the Wild,0385486804,Jon Krakauer,Barnes and Noble,4.1,hound48,"this book is for anyone who belives you don't have to follow the crowd. for anyone who has an imiganation and has desired to explore life ""outside the box""."
83,A Tale of Two Cities,0141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",Barnes and Noble,3.8,Gulliver_cc,"You get what you pay for!  This is a very crude version of the text, straight from a scan via OCR with no proofreading whatsoever.  Spend the few bucks to get a version of this great book that you can actually read!"
83,A Tale of Two Cities,0141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",Barnes and Noble,3.8,Anonymous,Excellently done!
83,A Tale of Two Cities,0141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",Barnes and Noble,3.8,Weil Sau Sau,"The Tale of Two Cities is a very good book about the 1700's. The author uses fake characters to describe the life abd times there. This is an excellent book for those who want history but a little fun too. All in all, I would recommend this book."
84,"Jurassic Park (Jurassic Park, #1)",030734813X,Michael Crichton,Barnes and Noble,4.6,coloradogirl14 on LibraryThing,"My favorite Crichton novel and one of my favorite novels of all time, mainly because the suspense is palpable, and most importantly, realistic.  What I love about Crichton's novels is that he is able to not only explain complicated scientific and technological concepts in layman's terms, but he is also able to make these concepts believable without insulting the reader's intelligence.  I was also impressed with the philosophical elements of the story, although I imagine some readers might consider this a too-obvious intrusion of the author's opinions.  Normally, I get frustrated with authors who attempt this, but somehow it works with Crichton and he has an interesting perspective on the inherent power of scientific discovery.  A fantastic techno-thriller and a fantastic story overall.  I've read Jurassic Park about twenty times and I plan to read it twenty more in the future."
84,"Jurassic Park (Jurassic Park, #1)",030734813X,Michael Crichton,Barnes and Noble,4.6,jonbeckett on LibraryThing,"Easily one of the best science fiction books I have ever read. Far, far better than the movie. The discussion about genetic manipulation was fascinating - especially the ""versions"" of the animals."
84,"Jurassic Park (Jurassic Park, #1)",030734813X,Michael Crichton,Barnes and Noble,4.6,Anagarika-Sean on LibraryThing,What a great book! Loved it.
85,The Giving Tree,0060256656,Shel Silverstein,Barnes and Noble,4.5,Guest,"This book 'THE GIVING TREE' by Shel Silverstein is a great book to read to children. It is a sad story but the lesson that it teaches is really valuable. This story speaks about the unconditional love the tree had towards the boy.When the boy was little he would gather the leaves,  climb up on her trunk and swing from her  branches. She would let him eat her apples and give him shade when he was tired. As he grows older he completely forgets about the tree. He remembers her only when he needs her.But the tree keeps giving him whatever the boy wanted. The man sells all the apples and even cuts her down to build his house. Even then the tree keeps giving whatever he wanted. When I read this book to my children , my daughter who is going to 3rd grade said that it was very mean on the boy's part to keep asking for more and more from the tree. My daughter hated when the boy cut the tree down to build his house. She was in tears when she read that page in the story. She told me that she will never be as mean as that boy . She was infact angry that the boy did not thank the tree even once. I think that this book helped my daughter learn the importance of give and take. I highy recomend readers to read this book to their young ones and also teachers to keep this book in their classrooms. I think it is a great book to share."
85,The Giving Tree,0060256656,Shel Silverstein,Barnes and Noble,4.5,mbshus,"The lessons are great and I first was read this book 30-some odd years ago, in 2nd grade.  I've bought it numerous times because the lesson in it is fanastic and actually changes, the older I get."
85,The Giving Tree,0060256656,Shel Silverstein,Barnes and Noble,4.5,TGordon,I give this book to all new mothers. Both of my kids enjoy it. Great story.
86,A Time to Kill,0385338600,John Grisham,Barnes and Noble,4.4,JessLucy,"Horrifying and somehow beautiful at the same time; Grisham tells the story of a family shattered and a town rocked by a horrific crime committed against a child. The trial Grisham describes is fascinating and heart-breaking in its process. The movie was good but the book is truly a work of art. The author has a skill for making the reader feel like he/she's actually right there during the trial. Grisham has outdone himself with this one! I also enjoyed The Chamber and The Partner by the same author. If you like John Grisham, you may also enjoy: Philip Margolin, Tami Hoag (Ashes to Ashes, Dust to Dust and a Thin Dark Line especially, and Michael Connelly."
86,A Time to Kill,0385338600,John Grisham,Barnes and Noble,4.4,DorothyNC,"I read this book for the first time at least 12 years ago. It was not the first John Grisham book that I read but it is, and will always be, his BEST! I could not put it down until I finished it. Unforgettable!!"
86,A Time to Kill,0385338600,John Grisham,Barnes and Noble,4.4,Anonymous,"A Time to Kill by John Grisham is an excellent novel. The story takes place in the small town of Clanton, Mississippi. The story covers an uneasy relationship between blacks and whites. A black man named Carl Hailey kills two white men who are on trial for the rape of his little girl. The irony is that Carl Hailey is defended by a white attorney named Jake Brigance. The novel contains humor and action. The story is moving and emotional. I like that Jake Brigance is a young, white attorney who does what he feels is the right thing to do. He is so determined to keep Carl Hailey out of jail and let him return to his family that he suffers consequences in his own marriage and within the town. Some of the people around him treat him differently than before he made the decision to be Carl Hailey's lawyer. They don't understand why Jake wants to help a black man stay out of prison. My favorite part of the plot and the main point of the novel is that Carl Hailey would do anything to take revenge against the people who hurt his daughter, even if it means that he will have to spend the rest of his life in prison. Every parent would feel the same way. If my daughter was raped and tortured, I would want to kill those guys too. The obstacle is to encourage the jury to realize this. They would have done the same thing if they were in Carl Hailey's place. They need to look past the color of his skin and judge him on what he did. Although killing two men was wrong, his intensions were right. Carl Hailey did it for his daughter. The love that he has for his daughter is extremely touching."
87,Night (The Night Trilogy #1),0374500010,"Elie Wiesel, Marion Wiesel",Barnes and Noble,4.6,SarahAnn09,"NIGHT by Elie Wiesel is a piercing account of the horrors of concentration camp, which impressed an incredible toll both internally and externally on his being.  As a young adolescent, he is ripped from his home, plummeted to the depths of suffering, and driven to the edge of his own humanity.  Mr. Wiesel openly shares with readers the tremendous weight of these experiences etched within his soul.  His courage in doing so should be lauded.

From Mr. Wiesel we can learn that regardless of the burden from the sins of others imposed upon us and our own sins, it is possible to endure - and even to help others do so.  

In that vein, I would recommend another memoir to readers of NIGHT - called A BEAUTIFUL WORLD, written by Gregg Milligan.   It is a book you will not be able to put down - a deeply moving account of the indomitable human spirit as seen in the heart of a young child subjected to severe physical, mental and sexual abuse. 
   
In the author's own words, he shares his story to help others 'buckle down and bear the ride' through their own hell - and know that they are not alone.   A BEAUTIFUL WORLD is an incredible testament to the perseverance of hope.  Exquisitely written and heart wrenching, it is an unforgettable story.

Both A BEAUTIFUL WORLD and NIGHT offer readers a chance to adjust their own perspective on suffering through the examples of both authors.  Though they have suffered greatly and will never leave this experience behind, they will not allow it to end them either.   

Further, both authors possess the incredible courage to reach out and share their stories, giving of themselves for the benefit of others.  The astounding resiliency shown in that act alone speaks volumes of them as human beings -- and the words they press to paper will ever live on in the hearts of those that read them."
87,Night (The Night Trilogy #1),0374500010,"Elie Wiesel, Marion Wiesel",Barnes and Noble,4.6,OswaldoLMS,"I'm amazed by what humans are capable of doing to one another and this book shows how devastating the cruelty can be for some. Night is the story of Elie Weisel, who spent his life during the Holocaust and knew how  people were treated in the concentration camps.I recommend this book to anyone who wants to learn how people were during the Holocaust."
87,Night (The Night Trilogy #1),0374500010,"Elie Wiesel, Marion Wiesel",Barnes and Noble,4.6,Anonymous,"The book Night is a terrifyingly honest retelling of a holocausts survivor's story. Elie Wiesel, who was a teen when he and his whole town were forced into the camps, shows what really happened. He spoke of how everyone reacted, and showed how desperate everyone truly got when they realized how much trouble they were in. It offered a look inside the mind of one of the victims, and showed the constant battle they fought with themselves. Also, it put in his own experiences, showing how he felt during it. 
To start with, Night really captured the nature of humans perfectly. Some of the Nazis were cruel, while a few were simply there because they had to be. Some prisoners were helpful and nice, some were aggressive and selfish. He showed all sides of the people, that they're not all the same. 
Plus, the book also shows how his beliefs changed over time. As he was forced onto the cattle cars, he called himself religious. After years of starvation, abuse, and harsh conditions, he began to lose faith. By the time he escaped, he believed in only one person, himself. He let readers in on all he was thinking, not just what he was witnessing. 
Also, the novel is just well written. The flow is impeccable, with each even flowing seamlessly into the next one. The details Elie poured into this story really shine through. All of the sentences have a meaning, and aren't just some made up stuff to make the story seem more interesting. He turned his life story into a beautiful piece of literature.
In addition, he talked about his father and about how hard he tried to help him. Plus, he even admitted to sort of feeling a wave of relief when his father passed away. He loved his father, but after constantly helping him as they both grew weaker and weaker, as well as doing hard labor to survive, it's no wonder he felt a weight lifted off his shoulders after his father's passing.
To sum it all up, Night is a painful, but beautiful story. It somehow managed to capture the essence of desperation, and showed this off with ease. It also showed his own battles with faith. Elie remained truthful throughout; contributing to what makes this novel so breathtaking. He didn't shy away from the things he felt, he showed them to the world. Additionally, the book is just a magnificent piece of literature. Night is definitely a book worth reading."
88,Paper Towns,014241493X,John Green,Barnes and Noble,4.4,Anonymous,"The first book I read by John Green was an Abundance of Katherines. I was hooked. This brilliant man who I knew through Nerdfighting and Brotherhood 2.0 videos had a completely different, and yet the same, side. He could write far better than almost any modern author I'd read- and that was only his second book. I read An Abundance of Katherines three times after I got it, and promptly bought a copy for myself. Then, I heard about Paper Towns. I had to read it. If it were even half as good as his other books, then it would be a miracle. But it wasn't. It was exponentially more amazing. 

I read the whole book in one day. I checked it out from the library in the morning at school and read it under my desk in class all day long. In seventh period, I read the last sentence, having heard nothing of class all day, closed the book, amazed, and excused myself to go deliver the book to one of my friends, who had begged me to lend her the book when I finished it, in her math class. I couldn't wait to pass it on. 

Everything about Paper Towns screams MASTERPIECE like nothing I've ever read. In the first fifteen minutes after the final punctuation, Paper Towns beat out each and every one of my favorite books, some of which I've called my favorite since elementary school, and became my favorite book. 

The characters are real, alive, vibrant. You can feel the story and live it along with them. John Green makes you cry one moment and laugh your ass off the next, all in one fluid motion. This book... is amazing. I feel like I've known Q my whole life. Hell, I'm even ordering a Black Santa online. 

If you haven't yet, buy this book. Read it. You'll never, ever regret it. 

Everything about Paper Towns is just beautiful. I can't say it enough. My way of thinking was changed. My way of writing was changed. My way of talking was changed. My way of life was changed. This book, though it is printed on paper, is NOT a paper book, to be passed by. By no means 2-dimensional, this book is like the V for Vendetta of literature- everyone should experiance it. Paper Towns changed my life, and my perspective of modern literature. 

Buy this book."
88,Paper Towns,014241493X,John Green,Barnes and Noble,4.4,laughing_in_the_rain,"When I first started reading this book I was completely in love with it. It was one of those books where you laugh out loud, cry, and think a lot. I think we can all relate to some of the situations in this books. It was really amazing. It kind of teaches us that we can chase somebody across the United States, but in the end our fantasies won't become real. I really liked the characters in this story. I would be reading in class and just bust out laughing. It was really good and now it's one of my all-time favorite books."
88,Paper Towns,014241493X,John Green,Barnes and Noble,4.4,asamum,"The story has so many layers it was like peeling the layers from an onion only to discover more layers underneath.

Written in 1st person narrative, from Quentin's (Q's) perspective. Q was surprisingly easy to relate to even in my female dominated household. Q epitomises the boy next door stereotype. A good student and all round nice guy. John Green makes geek/nerd sexy.

Margo & Q are tied together by a traumatic incident in their childhood. Although no longer friends, Q has had a crush on Margo from an early age.  Following their night of adventure and Margo's subsequent disappearance, Q has to analyse how well he knows/doesn't know Margo.

The notion that we are different versions of ourselves with different people really comes under scrutiny within the narrative. How well do we really know someone when we only see a single side of them. In the same context how well do we know ourselves, when we are different with different people. There are a complex set of psychological theories beautifully entwined in the plot. 

Making Q's parents psychiatrists in the story adds an extra dimension to the analysis. Elements of the nature versus nurture debate especially with the contrasts between Q's parents and Margo's.

The use of Walter Whitman's poem Leaves of Grass within the plot adds another layer to the story (see what I mean about peeling the layers of an onion). The analysis of the poem parallels the analysis of people within the plot.

Q evolves tremendously throughout the book. At the start he has always been on the periphery of his own life. Through his search for Margo, he discovers who he really is. I think that is why finding Margo became a compulsion for him, as he was also finding himself.

I adored John Green's writing style, the use of metaphors & similes were fantastic. Decay never sounded so good :0)

A story about growing-up, self discovery, endings & beginnings. The realisation that the world is a big place and we are just a small part of the whole. A highly recommended read :0)"
89,The Princess Bride ,0345418263,William Goldman,Barnes and Noble,4.4,DylanJames,"The story is without peer. For folks who loved the movie, the extra texture and detail provided by the book is very rewarding.

However, this ebook presentation is inexcusably poor.  What am I talking about? Every other edition of the Princess Bride uses typography to distinguish Goldman's voice from Morgenstern's.  This is important, because there are many interjections by Goldman. The first edition of the book used red type for Goldman's voice. Subsequent editions used italics. With the richness of an electronic screen available, what does this ebook do? Absolutely nothing is what it does. The book says ""All abridging remarks and other comments will be in this fancy italic type so you'll know."" It says this in exactly the same non-italic type of the rest of the book. Hopefully, being an electronic item, this error can be fixed, and existing copies will be updated.

This makes it appear that in the production chain of an eBook, or this one anyway, there wasn't a single person who cared about the content of Princess Bride. This is our future! Please take better care."
89,The Princess Bride ,0345418263,William Goldman,Barnes and Noble,4.4,Hockney,"This is a classic novel of adventure, romance, sword fighting, revenge, magic and very big rodents. Funnier than the film, and with better special effects. Goldman's radical editing of Morgenstern's epic will appeal to anyone with a love of adventure, but who read the unabridged versions of books such as Don Quixote and Moby Dick and found them boring beyond belief. All the good bits, indeed.
And the format's been fixed - Goldman's comentary is now in italics."
89,The Princess Bride ,0345418263,William Goldman,Barnes and Noble,4.4,AMHblogger,"Wow, where do I begin? Being a big fan of the movie and critical of adaptations, this book was as close to perfect as you could possibly get! I absolutely loved it! The movie stays very faithful to the book; and the book is purely awesome. The book even contained the aspect that the story was being read to a child by an adult. Goldman took it even a step further and created an entire storyline outside of the actual Princess Bride story. The whole idea of abridging the &ldquo;original&rdquo; story by Morgenstern was fictitious, but it had me believing it was the truth. It wasn&rsquo;t until after finishing the book, I looked it up on the internet and found out it was fake; it was all part of the story. Very creative, I must say.

Aside from that, the main story of The Princess Bride was exciting, funny, and touching. The characters were deep, witty, and likable. It contained a great balance of romance, action, suspense, and witty humor. If you enjoyed the movie, you&rsquo;ll cherish the book. It gives greater detail and background to various characters not seen in the movie. 

This has undoubtedly become my favorite book by far. To think another story could outdo it is absolutely....

....INCONCEIVABLE!!!"
90,The Outsiders,014038572X,S.E. Hinton,Barnes and Noble,4.7,lion_and_lamb28,Great book!! I read it in class and if i hadnt i would have missed out on alot. I couldnt put it down. The realism of it is incredible. I highly recomend is for a project or just for fun!
90,The Outsiders,014038572X,S.E. Hinton,Barnes and Noble,4.7,Anonymous,"S.E. Hinton's The Outsiders had to be one of the most moving teen reads ever written. This book can be read 100 times, and you'll still cry at parts and smile at other parts, even when you know what is going to happen.  
My good friend had first told me about this book and she started explaining how much she loved it and how it was about gangs, and I did a double take. At the moment, I thought she was crazy for obsessing over a book about gangs. Now, I see why she loves it so much. 
No one would ever think a book about Greasers and Socs would ever be this incredible. But it is, and the fact that Hinton had started writing this at the age of fifteen is amazing.
Incredible author and an incredible heart warming book that will live on forever."
90,The Outsiders,014038572X,S.E. Hinton,Barnes and Noble,4.7,Anonymous,"I had heard of The Outsiders before, and finally decided to read it on my own. I was absolutely stunned by how much it affected me. It is honestly the best book I have ever read, and this is coming from a die-hard Harry Potter fan. If you are going to read this, however, I would recommend reading the end in a private place, considering I literally sobbed for about twenty minutes, something no book has ever made me do. It's amazing!"
91,"The Maze Runner (Maze Runner, #1)",0385737947,James Dashner,Barnes and Noble,4.4,Hanna_thereckless,"I absolutely loved The Maze Runner. I first heard about it through an internet ad. It asked, ""Like the Hunger Games? Then you should read The Maze Runner."" It drew my attention because The Hunger Games is one of my most favorite books. So I started reading the ""preview"" of The Maze Runner on Barnes and Noble's website. There's something to be said for a book that I couldn't stay away from after the first sentence. I neglected my work and stared at my computer screen, reading. When I reached the end of the preview, I bought the ebook because I had to know what happened. It is a fast paced, action-packed adventure that completely sucks the reader in. From the very first sentence, I was simply dropped into the story; everything is from the main character's point of view. You only see and hear what he sees and hears. It was exciting, and I felt as if I was there.  
	 It is true that the characters could have been more deeply developed; they were certainly lacking in personality depth. Also, The Maze Runner is quite violent in parts: there is death and insanity and truly terrifying monsters. It is part of a new genre of books, all exploring the possible futures of this world. It is not a light read; it will have you up at night. However, if you loved The Hunger Games by Suzanne Collins, this is a book that you will enjoy just as much. I definitely recommend it."
91,"The Maze Runner (Maze Runner, #1)",0385737947,James Dashner,Barnes and Noble,4.4,brandyMD,"This book reminded me very much of The Hunger Games (FANTASTIC book & trilogy!)  This is written for teens, however I am an adult and both my 13 year old son and myself have now read it and thought it was hard to put down.  This is definitely one where you need to use your brain matter and think of the options involved.  You cannot help but feel compassion for the characters and your sense of emotion goes full speed.  As my son says, 'you feel like you are right there with them'.  (I must say, all of the same can be said for The Hunger Games as well)

Sure hope he gets the next book out sooner than later-it will definitely leave you thinking and ready for the next one ASAP."
91,"The Maze Runner (Maze Runner, #1)",0385737947,James Dashner,Barnes and Noble,4.4,PageTrnr,"I loved this book. It made me smile, it made me laugh, but most importantly, it made me think. I found myself thinking through all of the situations with the main characters. It was the last thing i thought about at night, and the first in the morning. This is definately a book that will make you ask yourself, ""what if that happemed to me?"" This was a great book and i definately reccomemnd it."
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",0061234001,"Steven D. Levitt, Stephen J. Dubner",Barnes and Noble,4.2,Anonymous,"This book is a general interest book- and it certainly is interesting. The book, for anyone looking for an entertaining read, will like it. In a nutshell, the book takes a look at all sorts of things in society, from crack gangs to parenting, and then attempts to make sense of them by applying econonmic principles. According to the book, economics is really the study of incentives, and so using this kind of angle, the book comes up with answers to why things work the way they do. A book that's hard to put down, I'm sure many readers will enjoy it. Also recommend The Sixty-Second Motivator for a more simplistic explanation of what motivates people and gives them incentives to do what they do."
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",0061234001,"Steven D. Levitt, Stephen J. Dubner",Barnes and Noble,4.2,MaykelP,"Freakonomics was a very good book. i thought this book was going to be one of those boring economics with only numbers and weird vocab books , but it turned out to be an easy read. i like the way the booked wasn't much address to the number but how to solve and achieve preblems in life and the connection with econommics; also hepls you understand things such as &quot; why do drug dealers still live with their moms&quot;(Freakonomics). a question answered in the book."
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",0061234001,"Steven D. Levitt, Stephen J. Dubner",Barnes and Noble,4.2,Pass,"Freakonomics provides the reader with the chance to take a new perspective on many different topics. It answers a seemingly complex question of why exactly drug dealers live with their mothers and shows how gangs are the reason why. This book is one that you would not want to put down and will want to read it through to the end. I would suggest that everybody reads this book and learn from it some very hard lessons. A chapter in the book describes how criminologists incorrectly found the answer to the 1990's crime rate drop and how that drop is linked to the legalization of abortion. Levitt and Dubner also show how everybody responds to an incentive, comparing the prices real estate agents get for their house versus their clients; also providing why a sumo wrestler is like a school teacher. This book shows the reader the hidden side of decision-making and how the economy works. It provides an insight to the world of economists and into the world of both psychology and sociology. From the book you can learn ways to bring patterns out of data (even though this wasn't an intention of the book) which is a very valuable skill to have. Another thing to learn is that common, conventional wisdom is mostly made up of lies and is created by ""experts"" in their own interest. It explains how those experts manipulate people by using their ignorance against them, and hopefully will teach the reader not to believe everything they hear. This book is one that every person needs to read at some point in their life, as it provides many different answers to life's questions and presents the method for answering those. Those methods can be used to answer your own personal questions and will help you out during your entire life."
93,The Secret Garden,0517189607,Frances Hodgson Burnett,Barnes and Noble,4,moniema,"I am 9 years old, about the same age as Mary the main character in the book. When I first got the book I thought I would not be interested in it. However, I kept on reading and it got really good.  The story is very well told, it is easy to follow, the vocabulary is not very hard. You just have to be patient and towards the middle the story gets very interesting. Also at the end of the book there are questions about the story that makes you wonder how you would feel in Mary's situation.   My mom felt that this book would be a good introduction to reading good literature, and I agree. I felt it was very educational and appropriate for my reading level. I would recommend it to any girl or boy that is ready for some serious reading."
93,The Secret Garden,0517189607,Frances Hodgson Burnett,Barnes and Noble,4,Guest,"The first time I read this book must have been when I was in fourth grade, and I loved it so much and read it many times after that. I had to do a book report and that was when my dad recommended this book to me. I was reluctant to read this book at first, however, I was quickly captured in the magic of this book. It truly opened a door to a new world of a journey in a land of Classic books. I cried while reading this book.. because I'm also very emotional.   It's about an arrogant, selfish, and lonely girl who discovers a secret world behind a door. Gradually through the stories she learns to smile, laugh, and be a child. She makes friends for the first time and becomes more bright and glowing then ever! If you don't read this book... you will regret it... Read it and enjoy!!! :)"
93,The Secret Garden,0517189607,Frances Hodgson Burnett,Barnes and Noble,4,Shadow51,"This is a true classic. A girl named Mary Lennox was a selfish, unattractive and disagreeable child. When both her mother and her father dies, she is sent to live in her uncle's mansion. One day she discovers a key that would open a garden that has not been entered in 10 years. She goes into the garden every day and each day she's in there she becomes a little less selfish, a little more attractive , and a little more lovable. This is a must read book"
94,One Hundred Years of Solitude,0060531045,"Gabriel Garc??a M??rquez, Gregory Rabassa",Barnes and Noble,4.1,Guest,"One Hundred Years of Solitude is the most interesting novel I have read in a long time.  I was immediately drawn into the character development in the novel. Marquez tells the story in a way that makes the reader relate to characters that are strongly flawed. The family depicted is surprisingly realistic  although their lives are at times abnormally crazed. The magical, and at times tragic, events that occur through the story do not hinder the heart of the characters. The refreshing use of mystical realism is appropriately placed throughout the sometimes dark writing. While I was reading the novel, I couldn¿t help but smile at the witty details that were strategically used throughout. Although this book may be seen as dense and even random at times, the pure heart of the story shines through. When I first found the book, I was not sure if I would enjoy it, because it is a change from the usual novels I read. Once I completed the story, I was pleased that I chose to read this important piece of literature. After reading this novel, I feel that my views on society have changed. I would definitely recommend this book, because it is a worthy read."
94,One Hundred Years of Solitude,0060531045,"Gabriel Garc??a M??rquez, Gregory Rabassa",Barnes and Noble,4.1,Anonymous,"First and foremost, the prose in which this book is written is some of the most beautiful phrasing I have ever read. It reads extremely fast, but you have to be careful not to miss something. One paragraph can be three pages long, but one line in that paragraph can be something so powerful that it just tugs at your heart, so while it reads fast, also give it time to sink in. I've read reviews on here about how others have thought the characters were bizarre, or the events were explicit or unbelievable. It's magical realism, folks. This is part of the story, part of the heritage of the author and their nature of literature, and it's the biggest part of the story that brings the impossible to life. It's imagination, it's devotion, strength, love, lust, pain, jealousy and strife. I think that when most authors set out to write a book, they hope to capture just one of those feelings. Marquez captures them all, and he does it in such a way that no one else ever has before. I'm not going to give any details of the book. The pages speak for themselves. I only read these reviews after I read the book, just out of curiosity. I highly recommend not reading the book's description or anything that could potentially ruin the story. Just turn to page one, begin to read, and feel the power of this author's magic. It's truly overpowering."
94,One Hundred Years of Solitude,0060531045,"Gabriel Garc??a M??rquez, Gregory Rabassa",Barnes and Noble,4.1,Guest,"Although I haven't finished the novel yet (I'm half way through), I can understand the good and bad reviews. The author does have an interesting way of telling the story. My only complaint is some of the twisted behavior of many of the characters  I guess that's a part of the 'life changing' part of reading the novel.I liked the beginning and it does show the progression of civilization. It also examines government and the revolution in Latin America (yet it's still fictional). I just wish that the characters weren't so twisted. I would recommend this novel to more mature readers (also, if you notice, older/more mature readers liked this book  you need maturity to read through the semi-explicit scenes). I'm guessing that the plot is the changes that occur in civilization through time and what those changes does to the people involved."
95,The Picture of Dorian Gray,0375751513,"Oscar Wilde, Jeffrey Eugenides",Barnes and Noble,4.1,MDC_ColumbiaU,"""The Picture of Dorian Gray"" is a fantastic book, mixing excellent wit with poignant commentary on society, intertwined around a spiritual story about a man who sold his soul unwittingly, but unrepentantly.  Make sure you read this book, BUT ... buy a different edition.

The editor of this book, Cauti, included many intelligent and spectacular notes throughout the book, but he includes asterisks and cross-marks throughout the book so that you will check his footnotes.  These appear on 90% of the pages, and they ruin the flow of Wilde's prose because the reader is compelled to stop reading, check the footnote, and return to their previous position.  The rhythm of the writing is totaly disrupted whenever this happens, and it is fair to say that this happens often.  Often enough, in fact, that I recommend you buy another edition.  Not this one."
95,The Picture of Dorian Gray,0375751513,"Oscar Wilde, Jeffrey Eugenides",Barnes and Noble,4.1,Anonymous,"Believe it or not, I had not heard of The Picture of Dorian Gray until the movie League of Extraordinaty Gentleman came out.  I know, crazy right.  No, I havn't lived under a rock my whole life.  I don't know how i missed it.  Well, after seeing the movie I rented every movie of The Picture of Dorian Gray I could find and fell in love with the story.  Then I read the book... and fell in love with the writing.

Reading the first chapter is like being swathed in wonderful writing from head too toe.  I felt completely surrounded by it.  You can almost feel the warmth of the garden,  hear the sounds of the birds and dragonflies, and smell the beauty of the flowers as you sit and listen to this conversation between Harry and Basil.  The writing is an immersive experince.  And Basil's description of his first encounter with Dorian and the feelings that Dorian stirs in him, sound almost... romantic.  At the least there's definately a bromance going on.  And we also see the first crack of Dorian's facade in this chapter, which Basil's decsription of how Dorian sometiems seems purposefully cruel to him.  Isn't it interesting, the first chapter ends with Harry demanding to meet Dorian and dragging Basil into the house and we haven't even met Dorian yet ourselves.  

As I read the book it occured to me that it could also have been titled the Influence of Lord Henry Wotten, for Harry's (as he's called by his friends) opinions and influence are as central to the story as Dorian Gray himself and more of a factor than the portrait itself. Hardly a scene goes by that Harry, whether present or not, is not quoted as an authority. It was as if he was the potter and Dorian was the clay.  Harry was fully aware of his influence, and Dorian... Dorian seemed to be racing from one sensation to another like a spoiled child.

This was by far one of the best written, most interesting stories I have read.  I will read it over and over and would recommend it to everyone.

STATS: 
Nook Pages: 240 
Genere: Classic
Re-readability: Very High"
